,Activity Type,Day,Month,Year,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
0,Running,15,7,2020,Cherry Hill Running,6.0,530.0,43,141,160,176,182,7:19,6:20,169,173,1.26
1,Running,14,7,2020,Cherry Hill Running,6.5,587.0,47,144,160,172,182,7:14,6:35,183,187,1.29
2,Running,13,7,2020,Cherry Hill Running,5.01,392.0,40,128,151,170,180,8:05,5:49,124,124,1.17
3,Running,12,7,2020,Cherry Hill Running,7.01,633.0,52,142,157,172,180,7:33,5:00,215,219,1.24
4,Running,11,7,2020,Cherry Hill Running,5.19,419.0,41,129,143,170,178,8:01,6:48,76,80,1.18
5,Running,10,7,2020,Ocean City Running,6.51,539.0,45,140,155,170,176,7:02,5:55,16,16,1.35
6,Running,9,7,2020,Ocean City Running,5.01,448.0,35,146,159,172,180,7:02,2:04,7,7,1.33
7,Running,8,7,2020,Ocean City Running,5.0,458.0,35,147,172,172,186,7:06,5:18,20,20,1.32
8,Running,6,7,2020,Ocean City Running,6.0,542.0,42,146,167,174,182,7:05,4:24,25,25,1.3
9,Running,5,7,2020,Ocean City Running,3.11,240.0,25,125,144,170,176,8:04,6:22,23,23,1.17
10,Running,4,7,2020,Ocean City Running,5.52,396.0,44,125,145,172,182,8:07,7:02,19,19,1.16
11,Running,3,7,2020,Ocean City Running,5.0,466.0,35,149,163,172,182,7:02,5:49,44,44,1.32
12,Running,2,7,2020,Ocean City Running,4.01,325.0,32,129,141,168,176,8:03,6:57,39,39,1.19
13,Running,1,7,2020,Cherry Hill Running,5.56,495.0,39,146,167,172,184,7:09,5:57,199,204,1.31
14,Running,29,6,2020,Cherry Hill Running,7.0,670.0,52,147,163,170,178,7:32,6:25,233,237,1.25
15,Running,28,6,2020,Cherry Hill Running,5.31,447.0,44,133,152,168,178,8:18,7:00,221,217,1.15
16,Running,27,6,2020,Cherry Hill Running,6.38,584.0,49,141,160,170,178,7:42,4:08,198,204,1.23
17,Running,26,6,2020,Cherry Hill Running,5.0,431.0,39,136,154,172,180,7:49,7:05,137,139,1.2
18,Running,25,6,2020,Cherry Hill Running,7.0,639.0,50,147,162,172,180,7:09,6:14,205,213,1.32
19,Running,24,6,2020,Cherry Hill Running,6.0,543.0,47,139,160,172,178,7:51,6:38,205,200,1.2
20,Running,23,6,2020,Cherry Hill Running,5.14,504.0,37,150,191,170,180,7:21,6:03,138,145,1.28
21,Running,21,6,2020,Chicago Running,6.0,520.0,41,145,157,172,178,6:54,6:07,105,105,1.36
22,Running,20,6,2020,Chicago Running,4.02,328.0,34,127,152,172,178,8:29,6:49,47,47,1.11
23,Running,18,6,2020,Cherry Hill Running,5.0,440.0,39,136,152,170,178,7:57,7:07,169,162,1.18
24,Running,17,6,2020,Cherry Hill Running,7.01,625.0,50,146,162,170,178,7:09,5:58,200,207,1.33
25,Running,16,6,2020,Ocean City Running,6.0,576.0,42,151,175,172,178,7:05,6:25,49,49,1.32
26,Running,15,6,2020,Ocean City Running,4.12,283.0,33,120,136,170,180,8:10,6:34,22,22,1.16
27,Running,14,6,2020,Ocean City Running,7.75,582.0,62,130,151,170,182,8:03,3:54,57,57,1.17
28,Running,13,6,2020,Ocean City Running,5.0,430.0,39,135,169,172,178,7:57,1:58,39,39,1.17
29,Running,11,6,2020,Cherry Hill Running,7.0,616.0,50,143,161,172,180,7:16,6:22,220,226,1.29
30,Running,10,6,2020,Cherry Hill Running,5.0,429.0,40,134,153,168,178,8:07,6:55,109,107,1.17
31,Running,9,6,2020,Cherry Hill Running,4.16,373.0,32,139,153,170,176,7:43,6:21,102,105,1.23
32,Running,8,6,2020,Cherry Hill Running,8.46,763.0,61,147,163,172,178,7:15,6:27,279,283,1.3
33,Running,7,6,2020,Cherry Hill Running,5.13,443.0,38,141,163,170,178,7:29,5:06,139,146,1.26
34,Running,6,6,2020,Cherry Hill Running,5.0,465.0,38,145,157,172,182,7:39,5:45,134,136,1.22
